He has beard. A man is wearing goatee, hat and eyeglasses.
A person has beard. He is wearing goatee, hat and eyeglasses.
He wears goatee, hat and eyeglasses. He has beard.
He wears goatee, hat and eyeglasses. He has beard.
This male has beard. He is wearing goatee, hat and eyeglasses.
He is wearing goatee, hat and eyeglasses. He has beard.
A person has beard. He wears goatee, hat and eyeglasses.
A man has beard. He is wearing goatee, hat and eyeglasses.
A man has beard. He wears goatee, hat and eyeglasses.
This man has beard. He wears goatee, hat and eyeglasses.
This person is wearing goatee, hat and eyeglasses. This man has beard.
He wears goatee, hat and eyeglasses. He has beard.
He has beard. He wears goatee, hat and eyeglasses.
This male has beard. He is wearing goatee, hat and eyeglasses.
He has beard. He is wearing goatee, hat and eyeglasses.
A man is wearing goatee, hat and eyeglasses. A man has beard.
A man has beard. He wears goatee, hat and eyeglasses.
He is wearing goatee, hat and eyeglasses. This man has beard.
He wears goatee, hat and eyeglasses. A man has beard.
He wears goatee, hat and eyeglasses. This person has beard.
