A person has black hair, bangs and straight hair. He is young.
He is young. He has black hair, bangs and straight hair.
He is young. He has black hair, bangs and straight hair.
He is young. A male has black hair, bangs and straight hair.
He has black hair, bangs and straight hair. This man is young.
He has black hair, bangs and straight hair. He is young.
This person is young. This man has black hair, bangs and straight hair.
He is young. He has black hair, bangs and straight hair.
He is young. This man has black hair, bangs and straight hair.
A man has black hair, bangs and straight hair. He is young.
This male has black hair, bangs and straight hair. He is young.
He is young. A male has black hair, bangs and straight hair.
He has black hair, bangs and straight hair. This man is young.
He is young. This man has black hair, bangs and straight hair.
A man has black hair, bangs and straight hair. He is young.
He is young. He has black hair, bangs and straight hair.
He has black hair, bangs and straight hair. He is young.
He is young. A male has black hair, bangs and straight hair.
He is young. A person has black hair, bangs and straight hair.
He has black hair, bangs and straight hair. He is young.
