He has beard. A man wears goatee, hat and eyeglasses.
He is wearing goatee, hat and eyeglasses. He has beard.
This person has beard. This man wears goatee, hat and eyeglasses.
He has beard. He is wearing goatee, hat and eyeglasses.
He wears goatee, hat and eyeglasses. He has beard.
He has beard. He wears goatee, hat and eyeglasses.
He has beard. He is wearing goatee, hat and eyeglasses.
This male wears goatee, hat and eyeglasses. He has beard.
He has beard. This man is wearing goatee, hat and eyeglasses.
A male is wearing goatee, hat and eyeglasses. He has beard.
He has beard. This person wears goatee, hat and eyeglasses.
A person wears goatee, hat and eyeglasses. He has beard.
This man wears goatee, hat and eyeglasses. A man has beard.
A man has beard. A man wears goatee, hat and eyeglasses.
A male wears goatee, hat and eyeglasses. He has beard.
He has beard. He is wearing goatee, hat and eyeglasses.
This male has beard. A male is wearing goatee, hat and eyeglasses.
He is wearing goatee, hat and eyeglasses. He has beard.
He has beard. He is wearing goatee, hat and eyeglasses.
He wears goatee, hat and eyeglasses. He has beard.
