He has beard. He is wearing eyeglasses, goatee and hat.
He has beard. He wears eyeglasses, goatee and hat.
He has beard. He wears eyeglasses, goatee and hat.
He has beard. This male is wearing eyeglasses, goatee and hat.
This man wears eyeglasses, goatee and hat. He has beard.
He has beard. He wears eyeglasses, goatee and hat.
He has beard. This male wears eyeglasses, goatee and hat.
He has beard. He wears eyeglasses, goatee and hat.
A male wears eyeglasses, goatee and hat. He has beard.
He has beard. This person is wearing eyeglasses, goatee and hat.
He wears eyeglasses, goatee and hat. He has beard.
A male is wearing eyeglasses, goatee and hat. He has beard.
He has beard. This male wears eyeglasses, goatee and hat.
This man wears eyeglasses, goatee and hat. He has beard.
He wears eyeglasses, goatee and hat. He has beard.
He wears eyeglasses, goatee and hat. He has beard.
He wears eyeglasses, goatee and hat. He has beard.
He has beard. A person is wearing eyeglasses, goatee and hat.
He has beard. He wears eyeglasses, goatee and hat.
He is wearing eyeglasses, goatee and hat. He has beard.
