A man has beard. He wears hat, goatee and eyeglasses.
He has beard. He is wearing hat, goatee and eyeglasses.
He wears hat, goatee and eyeglasses. This person has beard.
He is wearing hat, goatee and eyeglasses. A man has beard.
He is wearing hat, goatee and eyeglasses. This man has beard.
This person has beard. He is wearing hat, goatee and eyeglasses.
He wears hat, goatee and eyeglasses. He has beard.
He wears hat, goatee and eyeglasses. He has beard.
He wears hat, goatee and eyeglasses. This man has beard.
A male has beard. He is wearing hat, goatee and eyeglasses.
He has beard. He is wearing hat, goatee and eyeglasses.
He wears hat, goatee and eyeglasses. This person has beard.
He is wearing hat, goatee and eyeglasses. He has beard.
He is wearing hat, goatee and eyeglasses. This male has beard.
A man has beard. He is wearing hat, goatee and eyeglasses.
He is wearing hat, goatee and eyeglasses. This man has beard.
He wears hat, goatee and eyeglasses. He has beard.
This person is wearing hat, goatee and eyeglasses. A man has beard.
He has beard. He wears hat, goatee and eyeglasses.
A man has beard. A male is wearing hat, goatee and eyeglasses.
