A male wears hat, eyeglasses and goatee. A man has beard.
He has beard. He wears hat, eyeglasses and goatee.
He is wearing hat, eyeglasses and goatee. This male has beard.
He has beard. He wears hat, eyeglasses and goatee.
This person is wearing hat, eyeglasses and goatee. He has beard.
He has beard. He wears hat, eyeglasses and goatee.
A man has beard. He wears hat, eyeglasses and goatee.
He has beard. This person wears hat, eyeglasses and goatee.
This person has beard. A male wears hat, eyeglasses and goatee.
He has beard. A man is wearing hat, eyeglasses and goatee.
He is wearing hat, eyeglasses and goatee. He has beard.
He wears hat, eyeglasses and goatee. This person has beard.
He wears hat, eyeglasses and goatee. He has beard.
He has beard. He wears hat, eyeglasses and goatee.
A male is wearing hat, eyeglasses and goatee. He has beard.
He has beard. This person wears hat, eyeglasses and goatee.
This male wears hat, eyeglasses and goatee. He has beard.
He is wearing hat, eyeglasses and goatee. He has beard.
He has beard. A person is wearing hat, eyeglasses and goatee.
He wears hat, eyeglasses and goatee. A man has beard.
