This man is wearing goatee, eyeglasses and hat. He has beard.
He has beard. He wears goatee, eyeglasses and hat.
He is wearing goatee, eyeglasses and hat. He has beard.
He is wearing goatee, eyeglasses and hat. He has beard.
He has beard. This male wears goatee, eyeglasses and hat.
He is wearing goatee, eyeglasses and hat. He has beard.
He has beard. A male wears goatee, eyeglasses and hat.
This man has beard. He wears goatee, eyeglasses and hat.
He has beard. He wears goatee, eyeglasses and hat.
He has beard. He wears goatee, eyeglasses and hat.
He has beard. He wears goatee, eyeglasses and hat.
He has beard. This person wears goatee, eyeglasses and hat.
This person is wearing goatee, eyeglasses and hat. He has beard.
This male wears goatee, eyeglasses and hat. He has beard.
He is wearing goatee, eyeglasses and hat. He has beard.
This male is wearing goatee, eyeglasses and hat. He has beard.
He has beard. A man is wearing goatee, eyeglasses and hat.
He is wearing goatee, eyeglasses and hat. A man has beard.
He wears goatee, eyeglasses and hat. He has beard.
He has beard. A person is wearing goatee, eyeglasses and hat.
